geneID,name,altName,description,chr,start,stop,strand,dist2Telo,upstreamOrient,upstreamDist,downstreamOrient,downstreamDist,type,exons,tsLength,spliceAlt,pseudo,tmDom,signalP,loc,subtelo.HP1,ap2gMotifs_1k,ap2gMotifs_3k,family,cvge,heterochrom,hda2KD,hp1KD,combined,trophPep,egcPep,lgcPep,eGC.Troph.ratio,lGC.Troph.ratio,tsGenLoc
PF3D7_0100100,VAR PF3D7_0100100,VAR PF3D7_0100100,erythrocyte membrane protein 1 PfEMP1 (VAR),Pf3D7_01_v3,29510,37126,(+),29510,NA,NA,opposite,1855,protein,2,6492,0,0,0,0,exported,TRUE,0,4,var,0,1,1,1,3,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 29510 - 37126 (+)
PF3D7_0100200,RIF PF3D7_0100200,RIF PF3D7_0100200,rifin (RIF),Pf3D7_01_v3,38982,40207,(-),40207,same,2159,opposite,1855,protein,2,996,0,0,1,0,exported,TRUE,0,0,rifin,1,1,1,1,4,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 38982 - 40207 (-)
PF3D7_0100300,VAR PF3D7_0100300,VAR PF3D7_0100300,erythrocyte membrane protein 1 PfEMP1 (VAR),Pf3D7_01_v3,42367,46507,(-),46507,opposite,3855,same,2159,protein,2,3984,0,0,0,0,exported,TRUE,0,0,var,1,1,1,1,4,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 42367 - 46507 (-)
PF3D7_0100400,RIF PF3D7_0100400,RIF PF3D7_0100400,rifin (RIF),Pf3D7_01_v3,50363,51636,(+),50363,opposite,3855,opposite,1532,protein,2,1119,0,0,1,0,exported,TRUE,0,0,rifin,1,1,0,0,2,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 50363 - 51636 (+)
PF3D7_0100500,PF3D7_0100500,PF3D7_0100500,erythrocyte membrane protein 1 (PfEMP1) exon 1 pseudogene,Pf3D7_01_v3,53169,53280,(-),53280,same,497,opposite,1532,protein,1,112,0,1,1,1,exported,TRUE,1,1,var,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 53169 - 53280 (-)
PF3D7_0100600,RIF PF3D7_0100600,RIF PF3D7_0100600,rifin (RIF),Pf3D7_01_v3,53778,55006,(-),55006,same,1683,same,497,protein,2,1080,0,0,1,1,exported,TRUE,1,1,rifin,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 53778 - 55006 (-)
PF3D7_0100700,PF3D7_0100700 protein,PF3D7_0100700 protein,Plasmodium exported protein unknown function fragment,Pf3D7_01_v3,56690,56893,(-),56893,opposite,2878,same,1683,protein,1,204,0,0,0,0,exported,TRUE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 56690 - 56893 (-)
PF3D7_0100800,RIF PF3D7_0100800,RIF PF3D7_0100800,rifin (RIF),Pf3D7_01_v3,59772,61003,(+),59772,opposite,2878,opposite,1183,protein,2,1035,0,0,1,0,exported,TRUE,1,1,rifin,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 59772 - 61003 (+)
PF3D7_0100900,RIF PF3D7_0100900,RIF PF3D7_0100900,rifin (RIF),Pf3D7_01_v3,62187,63400,(-),63400,same,2416,opposite,1183,protein,2,1053,0,0,1,1,exported,TRUE,1,4,rifin,0,1,1,1,3,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 62187 - 63400 (-)
PF3D7_0101000,RIF PF3D7_0101000,RIF PF3D7_0101000,rifin (RIF),Pf3D7_01_v3,65817,66989,(-),66989,same,2314,same,2416,protein,2,1077,0,0,2,1,exported,TRUE,1,1,rifin,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 65817 - 66989 (-)
